ID,light_brown,dark_brown,black,blue_gray,red,white
SYNSKIN_0029080,1,0,0,0,0,0
SYNSKIN_0026611,0,1,1,1,0,1
SYNSKIN_0029774,1,0,0,0,0,1
SYNSKIN_0030604,1,0,0,0,0,0
SYNSKIN_0032465,1,0,0,1,0,1
SYNSKIN_0029354,0,1,1,1,0,1
SYNSKIN_0031505,1,1,1,0,0,0
SYNSKIN_0031474,0,1,1,1,0,0
SYNSKIN_0030446,1,1,0,0,0,0
SYNSKIN_0031416,1,1,0,0,0,0
SYNSKIN_0024965,0,0,0,1,0,0
SYNSKIN_0026257,1,0,1,0,0,0
SYNSKIN_0029235,0,1,0,1,0,1
SYNSKIN_0032419,0,1,0,1,1,1
SYNSKIN_0027566,0,0,0,1,0,0
SYNSKIN_0033103,0,1,0,0,1,0
SYNSKIN_0025668,0,1,1,0,1,0
SYNSKIN_0030924,0,1,1,0,0,0
SYNSKIN_0029250,1,1,1,1,0,0
SYNSKIN_0032375,0,1,0,0,1,0
SYNSKIN_0024936,1,0,0,0,1,0
SYNSKIN_0029696,1,1,0,1,0,0
SYNSKIN_0024566,0,1,1,1,0,0
SYNSKIN_0028313,0,1,1,0,0,0
SYNSKIN_0033145,1,1,0,0,0,0
SYNSKIN_0027732,1,1,0,1,0,1
SYNSKIN_0030246,1,0,0,0,1,0
SYNSKIN_0032148,0,1,0,1,0,1
SYNSKIN_0026930,1,1,1,1,0,1
SYNSKIN_0025409,1,1,1,0,0,0
SYNSKIN_0027915,1,1,0,0,0,1
SYNSKIN_0026530,1,1,0,1,0,1
SYNSKIN_0028072,0,0,0,1,1,0
SYNSKIN_0030752,0,1,0,1,1,1
SYNSKIN_0025081,0,0,0,1,0,1
SYNSKIN_0033991,0,0,0,1,0,1
SYNSKIN_0033377,0,1,0,1,0,1
SYNSKIN_0030443,1,1,0,1,0,1
SYNSKIN_0030819,1,0,0,1,0,0
SYNSKIN_0027040,1,0,0,0,1,0
SYNSKIN_0025051,0,1,0,0,1,0
SYNSKIN_0024693,0,0,0,1,0,1
SYNSKIN_0025940,1,1,0,0,1,0
SYNSKIN_0027691,0,1,0,0,1,0
SYNSKIN_0031638,0,1,0,1,1,1
SYNSKIN_0029289,1,1,0,1,0,1
SYNSKIN_0026186,0,1,1,1,0,0
SYNSKIN_0033109,0,1,1,1,0,0
SYNSKIN_0032008,0,1,1,1,0,0
SYNSKIN_0034137,1,0,0,1,0,1
SYNSKIN_0026911,1,0,0,1,0,0
SYNSKIN_0033821,1,1,0,0,0,0
SYNSKIN_0026254,0,1,0,1,0,1
SYNSKIN_0028544,1,1,0,0,1,0
SYNSKIN_0025690,0,1,0,0,1,0
SYNSKIN_0026868,1,0,0,1,0,0
SYNSKIN_0026654,0,1,1,1,0,1
SYNSKIN_0025417,1,1,0,0,1,0
SYNSKIN_0034289,0,0,0,1,1,0
SYNSKIN_0027076,1,1,0,1,0,1
SYNSKIN_0034306,0,1,0,0,0,0
SYNSKIN_0028074,0,0,0,1,0,1
SYNSKIN_0025787,1,0,0,0,0,0
SYNSKIN_0031663,0,0,1,0,0,0
SYNSKIN_0034168,0,1,0,0,0,0
SYNSKIN_0030802,1,1,0,0,0,1
SYNSKIN_0028729,1,1,0,1,0,0
SYNSKIN_0026849,0,0,0,1,0,1
SYNSKIN_0027779,0,0,0,1,0,0
SYNSKIN_0028491,1,0,0,0,0,0
SYNSKIN_0030392,0,1,0,1,1,1
SYNSKIN_0028526,1,0,1,0,0,0
SYNSKIN_0026518,0,1,0,0,0,0
SYNSKIN_0031376,1,0,0,1,0,1
SYNSKIN_0026394,1,1,1,0,0,0
SYNSKIN_0032584,0,1,1,0,1,0
SYNSKIN_0031089,0,1,0,0,1,0
SYNSKIN_0029356,1,1,0,1,0,0
SYNSKIN_0031595,1,1,1,0,0,0
SYNSKIN_0031193,0,0,0,1,0,0
SYNSKIN_0026687,0,0,1,0,0,0
SYNSKIN_0032438,1,1,0,0,1,0
SYNSKIN_0032571,0,1,0,0,1,0
SYNSKIN_0029542,0,1,0,0,0,0
SYNSKIN_0026194,0,1,1,0,1,0
SYNSKIN_0030223,1,0,0,0,1,0
SYNSKIN_0025916,1,0,0,1,0,1
SYNSKIN_0032877,1,1,1,1,0,0
SYNSKIN_0030425,0,1,1,0,1,0
SYNSKIN_0032328,1,1,0,0,0,0
SYNSKIN_0025989,1,1,0,1,0,1
SYNSKIN_0029171,0,0,0,1,1,0
SYNSKIN_0027762,1,1,0,1,0,0
SYNSKIN_0032885,1,1,0,0,0,1
SYNSKIN_0033242,1,0,0,0,0,1
SYNSKIN_0026824,0,1,1,0,0,0
SYNSKIN_0031206,1,1,1,0,0,0
SYNSKIN_0031937,1,1,1,1,0,1
SYNSKIN_0027350,1,0,0,0,1,0
SYNSKIN_0030225,1,1,1,1,0,0
SYNSKIN_0031724,0,1,0,1,1,1
SYNSKIN_0027048,1,0,0,0,0,1
SYNSKIN_0026005,0,0,0,1,0,1
SYNSKIN_0033931,0,1,0,0,0,0
SYNSKIN_0030591,0,1,0,0,0,0
SYNSKIN_0025683,1,0,0,0,0,0
SYNSKIN_0027250,0,1,1,1,0,0
SYNSKIN_0032179,1,0,0,0,0,1
SYNSKIN_0033157,1,1,0,1,0,0
SYNSKIN_0031024,1,0,0,0,0,0
SYNSKIN_0033521,0,1,1,0,1,0
SYNSKIN_0031382,1,1,1,0,0,0
SYNSKIN_0032413,0,1,1,1,0,0
SYNSKIN_0030519,0,1,1,1,0,1
SYNSKIN_0032769,0,0,0,1,0,1
SYNSKIN_0032997,0,0,0,1,0,0
SYNSKIN_0031665,1,1,0,0,0,1
SYNSKIN_0031263,0,0,0,1,0,0
SYNSKIN_0026884,0,0,0,1,0,0
SYNSKIN_0030462,0,0,0,1,1,0
SYNSKIN_0027248,1,1,0,1,0,0
SYNSKIN_0027236,0,1,1,0,0,0
SYNSKIN_0024328,0,1,1,0,0,0
SYNSKIN_0027947,0,0,0,1,1,0
SYNSKIN_0033431,1,1,0,0,1,0
SYNSKIN_0027716,1,1,0,0,1,0
SYNSKIN_0027815,1,1,0,0,0,0
SYNSKIN_0030084,0,1,0,1,1,1
SYNSKIN_0030512,0,0,0,1,0,0
SYNSKIN_0032279,0,0,1,1,0,0
SYNSKIN_0032393,0,1,1,1,0,0
SYNSKIN_0024913,1,0,0,0,0,1
SYNSKIN_0025660,0,1,1,1,0,1
SYNSKIN_0026219,0,1,0,0,1,0
SYNSKIN_0032200,0,1,1,0,0,0
SYNSKIN_0026306,1,0,0,1,0,1
SYNSKIN_0024718,0,1,0,1,1,1
SYNSKIN_0024339,0,1,1,0,1,0
SYNSKIN_0024911,0,0,0,1,1,0
SYNSKIN_0029179,0,0,0,1,0,1
SYNSKIN_0031333,1,1,1,1,0,0
SYNSKIN_0032812,1,1,0,1,0,0
SYNSKIN_0030920,0,1,1,0,1,0
SYNSKIN_0026071,0,0,1,1,0,0
SYNSKIN_0031504,1,1,1,1,0,0
SYNSKIN_0025263,1,0,0,0,0,0
SYNSKIN_0026399,0,0,0,1,0,0
SYNSKIN_0028439,1,1,0,0,1,0
SYNSKIN_0032211,1,1,1,0,0,0
SYNSKIN_0030513,1,1,1,1,0,0
SYNSKIN_0029169,0,1,0,0,1,0
SYNSKIN_0027821,1,1,0,0,0,1
SYNSKIN_0026834,0,0,1,0,0,0
SYNSKIN_0031805,1,1,0,1,0,1
SYNSKIN_0030444,1,1,1,1,0,1
SYNSKIN_0025872,1,1,0,0,0,1
SYNSKIN_0025997,0,1,1,1,0,1
SYNSKIN_0029683,1,0,0,0,0,0
SYNSKIN_0032186,0,0,1,0,0,0
SYNSKIN_0030814,1,1,0,0,1,0
SYNSKIN_0033562,0,1,1,1,0,1
SYNSKIN_0025351,1,0,0,0,0,1
SYNSKIN_0032981,1,1,0,1,0,1
SYNSKIN_0029230,0,1,0,1,0,1
SYNSKIN_0024998,1,0,1,0,0,0
SYNSKIN_0030954,0,1,1,1,0,1
SYNSKIN_0033798,1,0,1,0,0,0
SYNSKIN_0028671,1,1,0,1,0,1
SYNSKIN_0032124,1,1,1,0,0,0
SYNSKIN_0033173,0,0,0,1,0,1
SYNSKIN_0031879,1,0,1,0,0,0
SYNSKIN_0026347,0,1,1,0,1,0
SYNSKIN_0027208,1,1,1,1,0,1
SYNSKIN_0025807,1,0,0,1,0,0
SYNSKIN_0027952,0,1,0,1,1,1
SYNSKIN_0025794,0,1,1,1,0,0
SYNSKIN_0031414,0,0,0,1,1,0
SYNSKIN_0029737,0,1,1,1,0,0
SYNSKIN_0026532,1,1,1,1,0,0
SYNSKIN_0027051,0,0,0,1,0,0
SYNSKIN_0027143,1,1,0,1,0,0
SYNSKIN_0024617,0,0,0,1,1,0
SYNSKIN_0033160,0,0,0,1,1,0
SYNSKIN_0032865,0,1,1,0,0,0
SYNSKIN_0032053,0,1,0,0,1,0
SYNSKIN_0026275,0,1,1,1,0,0
SYNSKIN_0033034,1,1,1,1,0,0
SYNSKIN_0032728,1,1,0,0,0,1
SYNSKIN_0025073,1,0,0,0,1,0
SYNSKIN_0029377,1,1,0,0,0,0
SYNSKIN_0027897,1,1,0,0,1,0
SYNSKIN_0024610,0,0,1,1,0,0
SYNSKIN_0030577,1,0,0,0,0,0
SYNSKIN_0025612,0,1,1,0,1,0
SYNSKIN_0032946,0,0,0,1,0,0
SYNSKIN_0027154,1,1,1,0,0,0
SYNSKIN_0028966,1,0,0,1,0,0
SYNSKIN_0028372,1,1,0,1,0,0
SYNSKIN_0028666,1,1,0,0,0,1
SYNSKIN_0028737,0,1,1,1,0,1
SYNSKIN_0024935,1,0,0,0,0,0
SYNSKIN_0025239,0,0,0,1,0,1
SYNSKIN_0031537,0,1,0,0,0,0
SYNSKIN_0027065,1,1,0,1,0,0
SYNSKIN_0032843,1,0,0,0,0,1
SYNSKIN_0030821,0,1,1,1,0,0
SYNSKIN_0034320,0,0,0,1,0,1
SYNSKIN_0030188,0,0,1,0,0,0
SYNSKIN_0034276,1,1,0,0,0,1
SYNSKIN_0028462,0,1,1,0,1,0
SYNSKIN_0028691,1,0,0,0,0,1
SYNSKIN_0033724,0,0,1,1,0,0
SYNSKIN_0024427,1,0,0,1,0,0
SYNSKIN_0030180,0,1,1,1,0,1
SYNSKIN_0026711,0,1,1,1,0,1
SYNSKIN_0029884,0,1,1,0,1,0
SYNSKIN_0027630,0,0,1,0,0,0
SYNSKIN_0030933,1,1,0,0,1,0
SYNSKIN_0026244,0,0,0,1,1,0
SYNSKIN_0033257,0,1,1,0,0,0
SYNSKIN_0026827,0,1,0,1,1,1
SYNSKIN_0030902,1,0,0,0,1,0
SYNSKIN_0026174,0,1,1,1,0,0
SYNSKIN_0032788,1,1,0,1,0,1
SYNSKIN_0031744,0,0,0,1,1,0
SYNSKIN_0031995,0,0,1,1,0,0
SYNSKIN_0029068,1,0,0,1,0,0
SYNSKIN_0031967,1,0,1,0,0,0
SYNSKIN_0027245,0,1,0,1,1,1
SYNSKIN_0028714,1,0,0,1,0,0
SYNSKIN_0027099,1,0,0,0,0,1
SYNSKIN_0029409,0,1,1,0,1,0
SYNSKIN_0029237,0,0,0,1,0,1
SYNSKIN_0028004,0,1,1,1,0,0
SYNSKIN_0033789,0,1,0,1,1,1
SYNSKIN_0027980,1,0,0,0,0,1
SYNSKIN_0033436,1,1,0,0,0,0
SYNSKIN_0034145,0,1,0,1,0,1
SYNSKIN_0027867,0,1,0,1,1,1
SYNSKIN_0032596,1,0,0,0,1,0
SYNSKIN_0028075,0,1,0,0,1,1
SYNSKIN_0030052,0,1,1,1,0,1
SYNSKIN_0030586,1,1,1,1,0,0
SYNSKIN_0029315,0,0,1,1,0,0
SYNSKIN_0026568,0,0,0,1,0,0
SYNSKIN_0025567,1,1,1,1,0,0
SYNSKIN_0027805,1,1,0,1,0,1
SYNSKIN_0031891,0,1,0,1,0,1
SYNSKIN_0030142,1,1,0,0,0,1
SYNSKIN_0033405,1,0,1,0,0,0
SYNSKIN_0034100,1,0,1,0,0,0
SYNSKIN_0029810,0,1,0,1,0,1
SYNSKIN_0033992,1,0,0,0,0,1
SYNSKIN_0034039,1,0,0,0,0,0
SYNSKIN_0024771,1,1,0,1,0,0
SYNSKIN_0028043,1,1,0,0,0,1
SYNSKIN_0025113,1,1,0,1,0,0
SYNSKIN_0026570,1,0,1,0,0,0
SYNSKIN_0026566,0,1,0,0,1,0
SYNSKIN_0030662,1,1,1,0,0,0
SYNSKIN_0028016,0,1,1,0,1,0
SYNSKIN_0028625,0,1,0,0,0,0
SYNSKIN_0025225,0,0,0,1,0,1
SYNSKIN_0031647,1,0,1,0,0,0
SYNSKIN_0030488,1,1,1,1,0,0
SYNSKIN_0026675,1,1,1,1,0,1
SYNSKIN_0027809,1,0,0,0,1,0
SYNSKIN_0030087,1,0,0,0,1,0
SYNSKIN_0028552,0,1,0,0,1,0
SYNSKIN_0024511,1,1,0,1,0,1
SYNSKIN_0027192,1,0,0,0,0,1
SYNSKIN_0031239,0,1,1,0,1,0
SYNSKIN_0026986,1,0,0,1,0,1
SYNSKIN_0028185,1,1,1,1,0,1
SYNSKIN_0029531,0,0,0,1,0,0
SYNSKIN_0026717,1,1,0,1,0,0
SYNSKIN_0025485,0,1,0,1,1,1
SYNSKIN_0029328,0,1,1,1,0,1
SYNSKIN_0029501,1,1,1,1,0,1
SYNSKIN_0025490,1,0,1,0,0,0
SYNSKIN_0024703,1,1,1,1,0,0
SYNSKIN_0024640,1,0,1,0,0,0
SYNSKIN_0026873,1,1,0,0,0,0
SYNSKIN_0031922,0,0,0,1,1,0
SYNSKIN_0032491,1,1,0,0,0,1
SYNSKIN_0028323,1,0,1,0,0,0
SYNSKIN_0026211,0,1,0,0,0,0
SYNSKIN_0033199,1,1,0,0,0,1
SYNSKIN_0027532,1,0,0,1,0,1
SYNSKIN_0031853,1,1,1,0,0,0
SYNSKIN_0029028,0,1,1,0,1,0
SYNSKIN_0034024,0,0,0,1,1,0
SYNSKIN_0024608,0,1,1,0,0,0
SYNSKIN_0024969,1,1,1,0,0,0
SYNSKIN_0033855,1,0,0,0,1,0
SYNSKIN_0026028,0,0,1,0,0,0
SYNSKIN_0034121,1,1,1,1,0,1
SYNSKIN_0032866,0,0,1,1,0,0
SYNSKIN_0030696,0,0,0,1,0,0
SYNSKIN_0028008,1,1,1,0,0,0
SYNSKIN_0028984,1,0,1,0,0,0
SYNSKIN_0024984,0,0,0,1,1,0
SYNSKIN_0034079,1,0,0,1,0,1
SYNSKIN_0029576,1,1,0,1,0,1
SYNSKIN_0028320,0,1,0,1,1,1
SYNSKIN_0030120,0,1,0,1,1,1
SYNSKIN_0031676,0,0,0,1,1,0
SYNSKIN_0033652,1,0,0,0,0,0
SYNSKIN_0028505,0,0,1,1,0,0
SYNSKIN_0025385,0,0,0,1,1,0
SYNSKIN_0027992,1,1,1,0,0,0
SYNSKIN_0025566,0,1,1,0,0,0
SYNSKIN_0026859,0,1,1,0,1,0
SYNSKIN_0031041,0,0,1,0,0,0
SYNSKIN_0025144,1,1,0,0,0,1
SYNSKIN_0027676,1,0,0,1,0,1
SYNSKIN_0025843,0,1,1,0,0,0
SYNSKIN_0026228,0,1,1,0,1,0
SYNSKIN_0032157,0,0,0,1,1,0
SYNSKIN_0026514,0,0,1,0,0,0
SYNSKIN_0024409,0,1,1,1,0,0
SYNSKIN_0032173,0,1,0,0,1,0
SYNSKIN_0028306,0,0,1,1,0,0
SYNSKIN_0034258,0,0,0,1,1,0
SYNSKIN_0025921,1,1,0,0,1,0
SYNSKIN_0029081,1,1,0,1,0,1
SYNSKIN_0026201,0,1,1,1,0,0
SYNSKIN_0034110,0,1,1,1,0,0
SYNSKIN_0031563,1,0,1,0,0,0
SYNSKIN_0029680,1,1,0,0,1,0
SYNSKIN_0024758,1,0,0,1,0,1
SYNSKIN_0032168,0,1,1,1,0,0
SYNSKIN_0031480,1,0,0,0,0,0
SYNSKIN_0033668,1,0,0,0,0,1
SYNSKIN_0030625,0,1,0,0,1,0
SYNSKIN_0030686,0,1,1,1,0,1
SYNSKIN_0032831,0,1,0,1,0,1
SYNSKIN_0028822,1,0,0,1,0,1
SYNSKIN_0034252,1,1,0,0,0,1
SYNSKIN_0031664,1,0,0,1,0,1
SYNSKIN_0031016,0,0,1,1,0,0
SYNSKIN_0032449,0,0,0,1,0,1
SYNSKIN_0032244,0,1,1,0,0,0
SYNSKIN_0030426,0,1,1,1,0,1
SYNSKIN_0032292,1,0,0,0,0,0
SYNSKIN_0030368,0,1,1,0,0,0
SYNSKIN_0032780,0,0,1,0,0,0
SYNSKIN_0026061,0,0,0,1,1,0
SYNSKIN_0032468,0,0,0,1,1,0
SYNSKIN_0029594,1,1,1,1,0,1
SYNSKIN_0031549,0,0,0,1,1,0
SYNSKIN_0034021,0,0,0,1,0,1
SYNSKIN_0032241,1,0,0,1,0,1
SYNSKIN_0029276,1,1,0,0,1,0
SYNSKIN_0027536,1,1,1,0,0,0
SYNSKIN_0026775,0,0,1,0,0,0
SYNSKIN_0025093,0,0,1,1,0,0
SYNSKIN_0032327,1,0,0,0,0,1
SYNSKIN_0028540,0,1,0,1,1,1
SYNSKIN_0026374,0,1,0,0,1,0
SYNSKIN_0024458,0,1,0,1,0,1
SYNSKIN_0031124,0,1,1,1,0,0
SYNSKIN_0025369,1,0,0,0,1,0
SYNSKIN_0033484,0,1,1,1,0,1
SYNSKIN_0033486,0,0,0,1,0,0
SYNSKIN_0031180,1,0,0,1,0,1
SYNSKIN_0031313,0,0,0,1,1,0
SYNSKIN_0032754,1,0,0,0,0,0
SYNSKIN_0025804,1,0,0,1,0,1
SYNSKIN_0030269,1,0,0,1,0,1
SYNSKIN_0026667,0,0,0,1,0,1
SYNSKIN_0029064,0,0,0,1,0,1
SYNSKIN_0026474,1,0,0,1,0,1
SYNSKIN_0027200,0,1,1,0,1,0
SYNSKIN_0028590,0,1,0,1,1,1
SYNSKIN_0025229,0,1,1,1,0,0
SYNSKIN_0030528,0,1,0,0,0,0
SYNSKIN_0031415,0,1,1,0,1,0
SYNSKIN_0033538,0,1,0,0,1,0
SYNSKIN_0028355,0,0,1,0,0,0
SYNSKIN_0024487,1,0,0,1,0,1
SYNSKIN_0024529,0,1,0,0,0,0
SYNSKIN_0033495,1,0,1,0,0,0
SYNSKIN_0024840,1,0,0,0,1,0
SYNSKIN_0029554,1,1,0,1,0,1
SYNSKIN_0027672,1,1,1,0,0,0
SYNSKIN_0029298,0,1,1,1,0,0
SYNSKIN_0026360,1,1,0,1,0,1
SYNSKIN_0029785,1,1,0,0,0,1
SYNSKIN_0030677,0,1,1,1,0,1
SYNSKIN_0025135,1,0,0,0,0,0
SYNSKIN_0024730,0,1,1,0,0,0
SYNSKIN_0033408,1,1,0,1,0,0
SYNSKIN_0033455,1,0,0,0,0,0
SYNSKIN_0027946,0,0,0,1,0,1
SYNSKIN_0029856,0,1,1,0,1,0
SYNSKIN_0032778,1,0,0,1,0,0
SYNSKIN_0030633,1,1,1,1,0,1
SYNSKIN_0025726,1,1,1,1,0,0
SYNSKIN_0033112,0,1,1,0,0,0
SYNSKIN_0024661,1,1,1,1,0,0
SYNSKIN_0025069,1,0,0,0,1,0
SYNSKIN_0025220,1,0,0,1,0,0
SYNSKIN_0028364,1,0,0,1,0,1
SYNSKIN_0031522,0,1,0,1,1,1
SYNSKIN_0030838,1,0,1,0,0,0
SYNSKIN_0030557,1,0,0,1,0,1
SYNSKIN_0032617,1,1,0,1,0,1
SYNSKIN_0025941,0,1,0,0,1,0
SYNSKIN_0031976,0,1,0,0,0,0
SYNSKIN_0032511,1,1,0,0,1,0
SYNSKIN_0027593,1,0,0,0,0,1
SYNSKIN_0032774,1,1,0,0,1,0
SYNSKIN_0026522,0,0,1,1,0,0
SYNSKIN_0029926,1,0,0,0,1,0
SYNSKIN_0024666,0,1,1,1,0,0
SYNSKIN_0024522,0,1,0,1,1,1
SYNSKIN_0029182,1,1,0,0,0,0
SYNSKIN_0030369,0,1,1,0,0,0
SYNSKIN_0032235,0,0,0,1,0,1
SYNSKIN_0026876,0,1,0,0,0,0
SYNSKIN_0031306,0,1,0,0,1,0
SYNSKIN_0027613,1,1,0,0,1,0
SYNSKIN_0027433,0,1,1,0,0,0
SYNSKIN_0031293,1,0,0,0,1,0
SYNSKIN_0031533,0,1,1,1,0,0
SYNSKIN_0026751,1,1,0,0,1,0
SYNSKIN_0031247,0,1,1,1,0,0
SYNSKIN_0024454,1,1,0,1,0,0
SYNSKIN_0034034,0,1,0,1,0,1
SYNSKIN_0029738,0,0,1,0,0,0
SYNSKIN_0027079,0,0,0,1,0,0
SYNSKIN_0026239,0,0,1,1,0,0
SYNSKIN_0027884,0,0,0,1,1,0
SYNSKIN_0033318,1,1,1,0,0,0
SYNSKIN_0034281,1,0,0,1,0,0
SYNSKIN_0029401,1,1,1,0,0,0
SYNSKIN_0029970,1,1,0,0,1,0
SYNSKIN_0024899,1,1,0,1,0,1
SYNSKIN_0025061,1,0,0,0,0,0
SYNSKIN_0024728,1,0,0,1,0,1
SYNSKIN_0027382,0,0,1,1,0,0
SYNSKIN_0029903,0,1,1,0,1,0
SYNSKIN_0028050,0,1,0,0,1,0
SYNSKIN_0029024,0,1,1,1,0,0
SYNSKIN_0034277,0,0,1,1,0,0
SYNSKIN_0033118,1,0,0,0,0,1
SYNSKIN_0025393,0,0,0,1,1,0
SYNSKIN_0026783,1,0,0,0,0,0
SYNSKIN_0025820,1,1,0,1,0,1
SYNSKIN_0028078,0,1,1,0,1,0
SYNSKIN_0024837,0,0,0,1,1,0
SYNSKIN_0031737,0,1,1,0,0,0
SYNSKIN_0024874,1,1,0,0,0,0
SYNSKIN_0029967,0,1,0,0,0,0
SYNSKIN_0033635,0,1,0,1,0,1
SYNSKIN_0032716,0,1,0,1,1,1
SYNSKIN_0029795,0,1,0,1,1,1
SYNSKIN_0029877,1,1,0,0,0,0
SYNSKIN_0032933,0,1,1,0,1,0
SYNSKIN_0032688,1,1,0,0,0,1
SYNSKIN_0032084,1,0,0,1,0,1
SYNSKIN_0032426,1,0,0,1,0,1
SYNSKIN_0026956,1,1,0,1,0,0
SYNSKIN_0029667,0,1,0,0,0,0
SYNSKIN_0030140,1,0,0,0,0,0
SYNSKIN_0028487,1,1,1,1,0,0
SYNSKIN_0028849,0,0,1,1,0,0
SYNSKIN_0033458,1,1,1,0,0,0
SYNSKIN_0033650,1,1,1,0,0,0
SYNSKIN_0033266,0,0,0,1,1,0
SYNSKIN_0025531,1,1,0,0,1,0
SYNSKIN_0030433,0,1,1,0,0,0
SYNSKIN_0025998,1,0,0,1,0,0
SYNSKIN_0024901,1,0,0,0,0,0
SYNSKIN_0031142,1,0,1,0,0,0
SYNSKIN_0025183,0,1,0,0,1,0
SYNSKIN_0032069,1,1,0,1,0,1
SYNSKIN_0025138,0,1,1,1,0,1
SYNSKIN_0032495,0,1,1,0,0,0
SYNSKIN_0029009,1,0,0,1,0,1
SYNSKIN_0027457,1,0,0,0,0,1
SYNSKIN_0027872,1,1,1,1,0,1
SYNSKIN_0030760,0,0,0,1,1,0
SYNSKIN_0027589,0,1,1,0,1,0
SYNSKIN_0027666,0,1,0,1,0,1
SYNSKIN_0031837,0,1,1,0,1,0
SYNSKIN_0028605,0,1,0,0,1,0
SYNSKIN_0033400,0,1,1,1,0,0
SYNSKIN_0025371,1,1,1,0,0,0
SYNSKIN_0033828,0,1,0,0,1,0
SYNSKIN_0028631,0,1,1,1,0,1
SYNSKIN_0031697,1,0,0,1,0,0
SYNSKIN_0028399,0,0,1,1,0,0
SYNSKIN_0027775,0,1,0,0,0,0
SYNSKIN_0025948,1,1,1,1,0,1
SYNSKIN_0034040,0,1,1,0,1,0
SYNSKIN_0026716,1,1,1,1,0,0
SYNSKIN_0030595,1,1,1,0,0,0
SYNSKIN_0028253,0,1,1,1,0,0
SYNSKIN_0025885,0,0,0,1,1,0
SYNSKIN_0033733,1,1,1,1,0,0
SYNSKIN_0027548,1,0,1,0,0,0
SYNSKIN_0024473,0,1,1,0,0,0
SYNSKIN_0028563,1,1,0,0,0,0
SYNSKIN_0028014,1,1,0,0,0,1
SYNSKIN_0025434,0,0,0,1,0,0
SYNSKIN_0029714,0,1,0,0,1,0
SYNSKIN_0027665,0,1,0,0,1,0
SYNSKIN_0032297,0,1,0,0,0,0
SYNSKIN_0031491,1,0,0,0,0,1
SYNSKIN_0026304,1,1,0,0,1,0
SYNSKIN_0030788,0,1,0,0,1,0
SYNSKIN_0029572,1,1,0,1,0,0
SYNSKIN_0028908,0,1,0,0,0,0
SYNSKIN_0033592,0,1,1,0,1,0
SYNSKIN_0028159,1,1,1,1,0,1
SYNSKIN_0032528,1,1,1,1,0,1
SYNSKIN_0031808,1,1,0,0,0,0
SYNSKIN_0029381,0,0,0,1,0,0
SYNSKIN_0025548,0,0,1,1,0,0
SYNSKIN_0026258,0,1,1,1,0,0
SYNSKIN_0024465,0,1,1,1,0,0
SYNSKIN_0026761,0,1,1,0,1,0
SYNSKIN_0033965,0,1,1,0,0,0
SYNSKIN_0029956,1,1,1,0,0,0
SYNSKIN_0031088,1,0,1,0,0,0
SYNSKIN_0026593,0,1,0,0,0,0
SYNSKIN_0030720,0,0,0,1,0,1
SYNSKIN_0032751,0,1,1,0,0,0
SYNSKIN_0029986,1,1,1,0,0,0
SYNSKIN_0031236,1,1,0,0,0,1
SYNSKIN_0029196,0,1,0,0,1,0
SYNSKIN_0033712,0,0,0,1,1,0
SYNSKIN_0025420,0,1,0,0,0,0
SYNSKIN_0027075,0,1,0,1,1,1
SYNSKIN_0031129,0,1,1,0,0,0
SYNSKIN_0026743,0,0,0,1,0,1
SYNSKIN_0030789,1,0,0,0,0,0
SYNSKIN_0026068,1,1,0,0,1,0
